run,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
cnn_lr_1e-3,1,3.9584911276923287,0.08475555555555556,0.27571111111111113,3.4478147300720217,0.1652,0.438
cnn_lr_1e-3,2,3.348197813245985,0.18024444444444446,0.45684444444444444,3.0638073764801024,0.2364,0.5324
cnn_lr_1e-3,3,2.9077778231302895,0.2560222222222222,0.5746222222222223,2.6411933937072756,0.2964,0.6402
cnn_lr_1e-3,4,2.5647628850301105,0.32408888888888887,0.6566666666666666,2.3807598686218263,0.363,0.7018
cnn_lr_1e-3,5,2.3184765041775175,0.3764888888888889,0.7093777777777778,2.3086142623901367,0.3728,0.7118
cnn_lr_1e-3,6,2.111321592585246,0.4213777777777778,0.7538888888888889,2.1098570793151854,0.4326,0.7508
cnn_lr_1e-3,7,1.9395943475087483,0.4608888888888889,0.7861777777777778,2.0041261386871336,0.46,0.7696
cnn_lr_1e-3,8,1.76462472398546,0.5001777777777778,0.8196,1.9166300708770752,0.4704,0.7892
cnn_lr_1e-3,9,1.614340274090237,0.5324888888888889,0.8453777777777778,1.8460669044494629,0.4902,0.8056
cnn_lr_1e-3,10,1.4613357115427652,0.57,0.8722444444444445,1.8319188621520996,0.5002,0.8042
cnn_lr_1e-3,11,1.3046753414577907,0.6078,0.8959333333333334,1.789973151397705,0.516,0.8144
cnn_lr_1e-3,12,1.1800503278520371,0.6419111111111111,0.9134444444444444,1.8452910095214843,0.5078,0.8092
cnn_lr_1e-3,13,1.0388284629291957,0.6785111111111111,0.9337111111111112,1.7623474479675294,0.5294,0.8268
cnn_lr_1e-3,14,0.9166941740036011,0.711,0.9487777777777778,1.8774599578857423,0.5278,0.8188
cnn_lr_1e-3,15,0.7997350168863933,0.7437111111111111,0.9621555555555555,1.9005066284179688,0.5344,0.818
